Name,External ID,Control ID,Statement ID,Control Question
AT-1(a) Policy and Procedures,at-1_smt.a,at-1,at-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] awareness and training policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the awareness and training policy and the associated awareness and training controls;"
AT-1(b) Policy and Procedures,at-1_smt.b,at-1,at-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the awareness and training policy and procedures; and"
AT-1(c) Policy and Procedures,at-1_smt.c,at-1,at-1_smt.c,Review and update the current awareness and training: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
AT-2(a) Literacy Training and Awareness,at-2_smt.a,at-2,at-2_smt.a,"Provide security and privacy literacy training to system users (including managers, senior executives, and contractors): 1. As part of initial training for new users and [organization-defined frequency] thereafter; and 2. When required by system changes or following [organization-defined events];"
AT-2(b) Literacy Training and Awareness,at-2_smt.b,at-2,at-2_smt.b,Employ the following techniques to increase the security and privacy awareness of system users [awareness techniques];
AT-2(c) Literacy Training and Awareness,at-2_smt.c,at-2,at-2_smt.c,Update literacy training and awareness content [frequency] and following [events] ; and
AT-2(d) Literacy Training and Awareness,at-2_smt.d,at-2,at-2_smt.d,Incorporate lessons learned from internal or external security incidents or breaches into literacy training and awareness techniques.
AT-2.2 Insider Threat,at-2.2,at-2.2,,Provide literacy training on recognizing and reporting potential indicators of insider threat.
AT-3(a) Role-based Training,at-3_smt.a,at-3,at-3_smt.a,"Provide role-based security and privacy training to personnel with the following roles and responsibilities: [organization-defined roles and responsibilities]: 1. Before authorizing access to the system, information, or performing assigned duties, and [frequency] thereafter; and 2. When required by system changes;"
AT-3(b) Role-based Training,at-3_smt.b,at-3,at-3_smt.b,Update role-based training content [frequency] and following [events] ; and
AT-3(c) Role-based Training,at-3_smt.c,at-3,at-3_smt.c,Incorporate lessons learned from internal or external security incidents or breaches into role-based training.
AT-4(a) Training Records,at-4_smt.a,at-4,at-4_smt.a,"Document and monitor information security and privacy training activities, including security and privacy awareness training and specific role-based security and privacy training; and"
AT-4(b) Training Records,at-4_smt.b,at-4,at-4_smt.b,Retain individual training records for [time period].
AU-1(a) Policy and Procedures,au-1_smt.a,au-1,au-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] audit and accountability policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the audit and accountability policy and the associated audit and accountability controls;"
AU-1(b) Policy and Procedures,au-1_smt.b,au-1,au-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the audit and accountability policy and procedures; and"
AU-1(c) Policy and Procedures,au-1_smt.c,au-1,au-1_smt.c,Review and update the current audit and accountability: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
AU-2(a) Event Logging,au-2_smt.a,au-2,au-2_smt.a,Identify the types of events that the system is capable of logging in support of the audit function: [event types];
AU-2(b) Event Logging,au-2_smt.b,au-2,au-2_smt.b,Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged;
AU-2(c) Event Logging,au-2_smt.c,au-2,au-2_smt.c,Specify the following event types for logging within the system: [organization-defined event types (subset of the event types defined in ];
AU-2(d) Event Logging,au-2_smt.d,au-2,au-2_smt.d,Provide a rationale for why the event types selected for logging are deemed to be adequate to support after-the-fact investigations of incidents; and
AU-2(e) Event Logging,au-2_smt.e,au-2,au-2_smt.e,Review and update the event types selected for logging [frequency].
AU-3(a) Content of Audit Records,au-3_smt.a,au-3,au-3_smt.a,What type of event occurred;
AU-3(b) Content of Audit Records,au-3_smt.b,au-3,au-3_smt.b,When the event occurred;
AU-3(c) Content of Audit Records,au-3_smt.c,au-3,au-3_smt.c,Where the event occurred;
AU-3(d) Content of Audit Records,au-3_smt.d,au-3,au-3_smt.d,Source of the event;
AU-3(e) Content of Audit Records,au-3_smt.e,au-3,au-3_smt.e,Outcome of the event; and
AU-3(f) Content of Audit Records,au-3_smt.f,au-3,au-3_smt.f,"Identity of any individuals, subjects, or objects/entities associated with the event."
AU-4 Audit Log Storage Capacity,au-4,au-4,,Allocate audit log storage capacity to accommodate [audit log retention requirements].
AU-5(a) Response to Audit Logging Process Failures,au-5_smt.a,au-5,au-5_smt.a,Alert [personnel or roles] within [time period] in the event of an audit logging process failure; and
AU-5(b) Response to Audit Logging Process Failures,au-5_smt.b,au-5,au-5_smt.b,Take the following additional actions: [additional actions].
"AU-6(a) Audit Record Review, Analysis, and Reporting",au-6_smt.a,au-6,au-6_smt.a,Review and analyze system audit records [frequency] for indications of [inappropriate or unusual activity] and the potential impact of the inappropriate or unusual activity;
"AU-6(b) Audit Record Review, Analysis, and Reporting",au-6_smt.b,au-6,au-6_smt.b,Report findings to [personnel or roles] ; and
"AU-6(c) Audit Record Review, Analysis, and Reporting",au-6_smt.c,au-6,au-6_smt.c,"Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information."
AU-8(a) Time Stamps,au-8_smt.a,au-8,au-8_smt.a,Use internal system clocks to generate time stamps for audit records; and
AU-8(b) Time Stamps,au-8_smt.b,au-8,au-8_smt.b,"Record time stamps for audit records that meet [granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp."
AU-9(a) Protection of Audit Information,au-9_smt.a,au-9,au-9_smt.a,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and"
AU-9(b) Protection of Audit Information,au-9_smt.b,au-9,au-9_smt.b,"Alert [personnel or roles] upon detection of unauthorized access, modification, or deletion of audit information."
AU-11 Audit Record Retention,au-11,au-11,,Retain audit records for [time period] to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements. Requirement: The service provider retains audit records on-line for at least ninety days and further preserves audit records off-line for a period that is in accordance with NARA requirements. Requirement: The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf)
AU-12(a) Audit Record Generation,au-12_smt.a,au-12,au-12_smt.a,Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [system components];
AU-12(b) Audit Record Generation,au-12_smt.b,au-12,au-12_smt.b,Allow [personnel or roles] to select the event types that are to be logged by specific components of the system; and
AU-12(c) Audit Record Generation,au-12_smt.c,au-12,au-12_smt.c,Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.
