Name,External ID,Control ID,Statement ID,Control Question
7.7 Clear desk and clear screen,7.7,7.7,,Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities should be defined and appropriately enforced.
7.8 Equipment siting and protection,7.8,7.8,,Equipment should be sited securely and protected.
7.9 Security of assets off-premises,7.9,7.9,,Off-site assets should be protected.
7.10 Storage media,7.10,7.10,,"Storage media should be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements."
7.11 Supporting utilities,7.11,7.11,,Information processing facilities should be protected from power failures and other disruptions caused by failures in supporting utilities.
7.12 Cabling security,7.12,7.12,,"Cables carrying power, data or supporting information services should be protected from interception, interference or damage."
7.13 Equipment maintenance,7.13,7.13,,"Equipment should be maintained correctly to ensure availability, integrity and confidentiality of information."
7.14 Secure disposal or re-use of equipment,7.14,7.14,,Items of equipment containing storage media should be verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use.
8.1 User endpoint devices,8.1,8.1,,"Information stored on, processed by or accessible via user endpoint devices should be protected."
8.2 Privileged access rights,8.2,8.2,,The allocation and use of privileged access rights should be restricted and managed.
8.3 Information access restriction,8.3,8.3,,Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.
8.4 Access to source code,8.4,8.4,,"Read and write access to source code, development tools and software libraries should be appropriately managed."
8.5 Secure authentication,8.5,8.5,,Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.
8.6 Capacity management,8.6,8.6,,The use of resources should be monitored and adjusted in line with current and expected capacity requirements.
8.7 Protection against malware,8.7,8.7,,Protection against malware should be implemented and supported by appropriate user awareness.
8.8 Management of technical vulnerabilities,8.8,8.8,,"Information about technical vulnerabilities of information systems in use should be obtained, the organization’s exposure to such vulnerabilities should be evaluated and appropriate measures should be taken."
8.9 Configuration management,8.9,8.9,,"Configurations, including security configurations, of hardware, software, services and networks should be established, documented, implemented, monitored and reviewed."
8.10 Information deletion,8.10,8.10,,"Information stored in information systems, devices or in any other storage media should be deleted when no longer required."
8.11 Data masking,8.11,8.11,,"Data masking should be used in accordance with the organization’s topic-specific policy on access control and other related topic-specific policies, and business requirements, taking applicable legislation into consideration."
8.12 Data leakage prevention,8.12,8.12,,"Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information."
8.13 Information backup,8.13,8.13,,"Backup copies of information, software and systems should be maintained and regularly tested in accordance with the agreed topic-specific policy on backup."
8.14 Redundancy of information processing facilities,8.14,8.14,,Information processing facilities should be implemented with redundancy sufficient to meet availability requirements.
8.15 Logging,8.15,8.15,,"Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed."
8.16 Monitoring activities,8.16,8.16,,"Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents."
8.17 Clock synchronization,8.17,8.17,,The clocks of information processing systems used by the organization should be synchronized to approved time sources.
8.18 Use of privileged utility programs,8.18,8.18,,The use of utility programs that can be capable of overriding system and application controls should be restricted and tightly controlled.
8.19 Installation of software on operational systems,8.19,8.19,,Procedures and measures should be implemented to securely manage software installation on operational systems.
8.20 Networks security,8.20,8.20,,"Networks and network devices should be secured, managed and controlled to protect information in systems and applications."
8.21 Security of network services,8.21,8.21,,"Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored."
8.22 Segregation of networks,8.22,8.22,,"Groups of information services, users and information systems should be segregated in the organization’s networks."
8.23 Web filtering,8.23,8.23,,Access to external websites should be managed to reduce exposure to malicious content.
8.24 Use of cryptography,8.24,8.24,,"Rules for the effective use of cryptography, including cryptographic key management, should be defined and implemented."
8.25 Secure development life cycle,8.25,8.25,,Rules for the secure development of software and systems should be established and applied.
8.26 Application security requirements,8.26,8.26,,"Information security requirements should be identified, specified and approved when developing or acquiring applications."
8.27 Secure system architecture and engineering principles,8.27,8.27,,"Principles for engineering secure systems should be established, documented, maintained and applied to any information system development activities."
8.28 Secure coding,8.28,8.28,,Secure coding principles should be applied to software development.
8.29 Security testing in development and acceptance,8.29,8.29,,Security testing processes should be defined and implemented in the development life cycle.
8.30 Outsourced development,8.30,8.30,,"The organization should direct, monitor and review the activities related to outsourced system development."
"8.31 Separation of development, test and production environments",8.31,8.31,,"Development, testing and production environments should be separated and secured."
8.32 Change management,8.32,8.32,,Changes to information processing facilities and information systems should be subject to change management procedures.
8.33 Test information,8.33,8.33,,"Test information should be appropriately selected, protected and managed."
8.34 Protection of information systems during audit testing,8.34,8.34,,Audit tests and other assurance activities involving assessment of operational systems should be planned and agreed between the tester and appropriate management.
